date,value
2017-09-14,11.53
2017-09-15,11.65
2017-09-16,11.49
2017-09-17,10.76
2017-09-18,11.34
2017-09-19,11.57
2017-09-20,10.8
2017-09-21,11.73
2017-09-22,11.69
2017-09-23,11.63
2017-09-24,11.54
2017-09-25,12.16
2017-09-26,11.72
2017-09-27,11.68
2017-09-28,11.44
2017-09-29,11.05
2017-09-30,10.99
2017-10-01,10.92
2017-10-02,11.07
2017-10-03,11.23
2017-10-04,11.59
2017-10-05,11.29
2017-10-06,11.38
2017-10-07,11.5
2017-10-08,10.47
2017-10-09,11.66
2017-10-10,11.76
2017-10-11,11.83
2017-10-12,11.74
2017-10-13,12.02
2017-10-14,11.32
2017-10-15,10.95
2017-10-16,11.27
2017-10-17,11.53
2017-10-18,10.87
2017-10-19,12.86
2017-10-20,12.43
2017-10-21,12.29
2017-10-22,11.82
2017-10-23,11.57
2017-10-24,11.49
2017-10-25,11.44
2017-10-26,11.66
2017-10-27,11.65
2017-10-28,11.45
2017-10-29,10.56
2017-10-30,11.36
2017-10-31,11.79
2017-11-01,11.58
2017-11-02,11.51
2017-11-03,11.75
2017-11-04,12.0
2017-11-05,10.89
2017-11-06,11.84
2017-11-07,11.72
2017-11-08,11.77
2017-11-09,12.05
2017-11-10,11.8
2017-11-11,12.01
2017-11-12,11.43
2017-11-13,11.81
2017-11-14,11.92
2017-11-15,11.95
2017-11-16,11.62
2017-11-17,11.55
2017-11-18,11.5
2017-11-19,10.76
2017-11-20,11.58
2017-11-21,11.59
2017-11-22,11.71
2017-11-23,11.64
2017-11-24,11.84
2017-11-25,12.12
2017-11-26,11.38
2017-11-27,11.65
2017-11-28,11.78
2017-11-29,11.89
2017-11-30,12.04
2017-12-01,12.11
2017-12-02,11.58
2017-12-03,11.39
2017-12-04,11.85
2017-12-05,12.06
2017-12-06,12.1
2017-12-07,12.11
2017-12-08,12.12
2017-12-09,11.17
2017-12-10,10.83
2017-12-11,11.98
2017-12-12,11.9
2017-12-13,11.93
2017-12-14,11.9
2017-12-15,12.05
2017-12-16,12.07
2017-12-17,10.99
2017-12-18,11.97
2017-12-19,11.92
2017-12-20,11.86
2017-12-21,11.76
2017-12-22,11.5
2017-12-23,11.56
2017-12-24,10.6
2017-12-25,10.35
2017-12-26,12.2
2017-12-27,11.32
2017-12-28,11.18
2017-12-29,11.1
2017-12-30,10.7
2017-12-31,10.58
2018-01-01,10.73
2018-01-02,10.5
2018-01-03,10.91
2018-01-04,11.06
2018-01-05,10.82
2018-01-06,10.78
2018-01-07,9.97
2018-01-08,11.29
2018-01-09,11.0
2018-01-10,11.15
2018-01-11,11.17
2018-01-12,11.35
2018-01-13,8.26
2018-01-14,8.32
2018-01-15,10.28
2018-01-16,10.58
2018-01-17,10.56
2018-01-18,10.83
2018-01-19,10.93
2018-01-20,10.16
2018-01-21,9.8
2018-01-22,10.97
2018-01-23,10.67
2018-01-24,10.68
2018-01-25,10.69
2018-01-26,8.2
2018-01-27,10.92
2018-01-28,9.63
2018-01-29,10.46
2018-01-30,10.83
2018-01-31,10.89
2018-02-01,10.82
2018-02-02,10.7
2018-02-03,10.57
2018-02-04,9.92
2018-02-05,10.71
2018-02-06,10.71
2018-02-07,10.67
2018-02-08,10.68
2018-02-09,10.62
2018-02-10,9.8
